PitchNo,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,Batter,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,HitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0
149,2,2,Pitcher_6,Right,1,Batter_2,Right,2,Stretch,5,Top,0,1,0,Fastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,95.69554601,-2.113970544,-1.299002407,2393.837842,214.1834319,1:15,6.03858952,2.21904694,6.522258792,-9.736269962,19.88977526,13.52758967,3.28664968,2.654530285,87.57713443,-3.960761649,1.274557215,0.391749417,,,,,,,,,,,,-7.818473183,11.55184967,-2.134837073,50,5.887521872,2.741849452,-139.3423953,-5.445534988,-15.39223124,30.92264171,-9.431917544
150,2,3,Pitcher_6,Right,1,Batter_2,Right,2,Stretch,5,Top,0,2,0,Slider,Undefined,StrikeCalled,Undefined,Undefined,Undefined,0,0,,82.92647502,-0.691960123,-3.611899649,2558.372907,164.5934225,11:30,5.554700993,2.672898329,6.210806656,-30.01703229,9.695289101,-2.682014373,2.413463739,-0.387956228,76.86260008,-6.306192842,-4.114855355,0.453559383,,,,,,,,,,,,0.560863261,5.449224386,-2.40091557,50,5.487554794,7.691159992,-120.6240128,-2.321399984,0.834871723,21.19724128,-24.06261807
151,2,4,Pitcher_6,Right,1,Batter_2,Right,2,Stretch,5,Top,0,2,1,Fastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,95.20960886,-4.323303265,-4.570844301,2313.885739,215.2496901,1:15,6.05512496,2.088000124,6.671209544,-9.841701458,19.91053921,14.09098612,1.260170063,-0.427725286,87.97012403,-6.185093727,-1.906297769,0.392582881,,,,,,,,,,,,-8.898721605,12.06116927,-1.787889339,50,5.760835017,10.61562565,-138.0541626,-10.76432745,-17.39652373,27.0000275,-8.595109162
152,2,5,Pitcher_6,Right,1,Batter_2,Right,2,Stretch,5,Top,0,3,1,Fastball,Undefined,BallCalled,Walk,Undefined,Undefined,0,0,,96.9209212,-1.212936962,-2.096033155,2483.925376,217.0421042,1:15,6.117957621,2.197896519,6.402404826,-9.876401712,19.0645097,14.40865197,4.178812163,1.970622396,88.82684373,-3.083264723,0.634794812,0.38719311,,,,,,,,,,,,-8.465564489,10.78631585,-2.054705492,50,6.026590641,4.701899429,-141.1316129,-3.307788988,-17.14702073,30.83975927,-10.32634051
153,3,1,Pitcher_6,Right,1,Batter_3,Left,2,Stretch,5,Top,0,0,0,Slider,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,84.62479964,0.286631481,-4.357677481,2600.708062,166.4969662,11:30,5.484417857,2.627895608,6.254704305,-28.19166083,10.12094633,-2.439041265,3.400154825,-1.100892373,77.89202392,-5.010658662,-4.815749675,0.445494526,,,,,,,,,,,,0.180297991,5.448503426,-2.303335687,50,5.491700637,9.440098363,-122.9566485,-0.197472351,0.277395823,23.23871161,-23.79130348
154,3,2,Pitcher_6,Right,1,Batter_3,Left,2,Stretch,5,Top,0,1,0,Fastball,Undefined,InPlay,Undefined,LineDrive,Single,1,0,,95.59140762,-2.30987663,-4.639318659,2347.424479,233.8797597,1:45,5.690674276,2.547393853,6.552521149,-16.27365964,13.67433712,18.77687404,2.208727929,0.349485851,87.06283638,-5.405875921,-1.067684374,0.393872271,101.4235525,19.59334412,8.560265314,1156.501205,109.0260155,33.00624528,14.60099917,308.280372,307.8173379,3.20610782,3.17718689,-11.70676029,8.220710721,-2.235331679,50,5.523979619,10.68561653,-138.7263173,-6.109793482,-22.75321261,31.80136257,-16.19630799
155,4,1,Pitcher_6,Right,1,Batter_4,Right,2,Stretch,5,Top,1,0,0,Slider,Undefined,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,82.05313662,0.152090599,-2.990825805,,108.1874142,9:30,5.590012971,2.587058926,6.225159421,-39.78379124,1.070598195,-3.375573366,2.415194381,0.044174951,75.5016942,-7.326791177,-3.627940404,0.460035006,,,,,,,,,,,,1.010672929,0.542098887,-2.362125232,50,5.581433108,6.331100264,-119.3606702,-0.800454615,1.45805173,22.97371645,-31.39198722
156,4,2,Pitcher_6,Right,1,Batter_4,Right,2,Stretch,5,Top,1,0,1,Fastball,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,95.15637058,-3.395020709,-2.993377234,2311.571664,229.6856705,1:45,6.08546304,2.136087057,6.601770906,-15.43916266,14.79078875,17.46535773,1.681331097,1.347280903,86.51111155,-6.332007077,0.346002156,0.395722043,,,,,,,,,,,,-10.57806028,9.217325052,-1.939685645,50,5.84752421,6.70460205,-138.2031095,-8.67163112,-20.30919773,32.90449447,-14.47737524
157,4,3,Pitcher_6,Right,1,Batter_4,Right,2,Stretch,5,Top,1,1,1,Slider,Undefined,BallCalled,Undefined,Undefined,Undefined,0,0,,84.79162876,-0.941394429,-4.66152706,2527.507171,83.10365394,8:45,5.597674984,2.740839638,6.204516697,-38.82664711,-0.317163926,-2.3229406,1.490370952,-1.264257567,78.04493095,-8.211502424,-5.098464065,0.446637685,,,,,,,,,,,,-0.054620721,0.094272317,-2.38958372,50,5.50728909,10.10246072,-123.0698523,-3.156705996,-0.083624223,24.82742974,-32.02971781
158,4,4,Pitcher_6,Right,1,Batter_4,Right,2,Stretch,5,Top,1,2,1,Fastball,Undefined,FoulBall,Undefined,Undefined,Undefined,0,0,,96.03581839,-1.760338036,-3.520748371,2420.518775,214.3050477,1:15,6.093307416,2.200670412,6.41859913,-7.961509583,22.02767156,15.04834059,3.808285909,0.714567961,86.53797417,-3.282769599,-0.647700738,0.394143004,,,,,,,,,,,,-9.405207192,12.69970079,-1.956535898,50,5.964072247,8.112443605,-139.4991446,-4.544254063,-18.3011239,35.04908114,-7.462333757
